step,J1_phase_group,J2_phase_group,vehicle_count,total_waiting_time,mean_speed,total_queue,J1_phase,J2_phase,J1_side_pressure,J1_main_pressure,J2_side_pressure,J2_main_pressure
232,yellow_transition,yellow_transition,57,54.0,9.475190705477667,9,1,3,-9.0,17.0,-3.0,1.0
233,yellow_transition,yellow_transition,56,62.0,9.32389449526677,8,1,3,-9.0,17.0,-3.0,1.0
234,main_green,main_green,56,27.0,9.256967254548519,5,2,2,-9.0,17.0,-3.0,1.0
235,main_green,main_green,56,25.0,9.412819713123483,4,2,2,-9.0,17.0,-3.0,1.0
236,main_green,main_green,57,27.0,9.534204862008602,5,2,2,-9.0,17.0,-3.0,1.0
237,main_green,main_green,57,31.0,9.546981974566478,5,2,2,-9.0,17.0,-3.0,1.0
238,main_green,main_green,57,37.0,9.876589568839037,6,2,2,-9.0,17.0,-3.0,1.0
239,main_green,main_green,54,43.0,10.002120745051535,6,2,2,-9.0,17.0,-3.0,1.0
240,main_green,main_green,58,49.0,9.432057163991688,11,2,2,-9.0,17.0,-3.0,1.0
241,main_green,main_green,58,55.0,9.880153570129018,6,2,2,-9.0,17.0,-3.0,1.0
242,main_green,main_green,55,61.0,9.874464080356274,7,2,2,-9.0,17.0,-3.0,1.0
243,main_green,main_green,55,67.0,10.130090985449241,6,2,2,-9.0,17.0,-3.0,1.0
244,main_green,main_green,53,73.0,10.034411530009077,7,2,2,0.0,16.0,0.0,6.0
245,main_green,main_green,53,79.0,10.088737385391473,6,2,2,0.0,16.0,0.0,6.0
246,main_green,main_green,52,85.0,10.013373367847757,6,2,2,0.0,16.0,0.0,6.0
247,main_green,main_green,52,91.0,9.793427069540543,7,2,2,0.0,16.0,0.0,6.0
248,main_green,main_green,53,99.0,9.633492402621236,9,2,2,0.0,16.0,0.0,6.0
249,main_green,main_green,53,108.0,9.703365558949468,9,2,2,0.0,16.0,0.0,6.0
250,main_green,main_green,53,118.0,9.828663576252172,10,2,2,0.0,16.0,0.0,6.0
251,main_green,main_green,52,128.0,9.795044173416727,10,2,2,0.0,16.0,0.0,6.0
252,main_green,main_green,56,138.0,9.059353813831743,15,2,2,0.0,16.0,0.0,6.0
253,main_green,main_green,56,148.0,9.085731270368475,11,2,2,0.0,16.0,0.0,6.0
254,main_green,main_green,56,158.0,9.442150367315309,10,2,2,0.0,2.0,12.0,20.0
255,main_green,main_green,54,168.0,9.460794857413086,10,2,2,0.0,2.0,12.0,20.0
256,main_green,main_green,55,178.0,9.425083068045009,11,2,2,0.0,2.0,12.0,20.0
257,main_green,main_green,55,188.0,9.424704091679743,10,2,2,0.0,2.0,12.0,20.0
