step,phase_group,vehicle_count,total_waiting_time,mean_speed,total_queue,J1_phase,J2_phase
503,main_green,55,11.0,9.710994892652062,4,2,2
504,main_green,60,15.0,9.33006769675691,9,2,2
505,main_green,61,19.0,9.676895256840266,5,2,2
506,main_green,61,23.0,10.25531196716903,4,2,2
507,main_green,61,27.0,10.742625099307372,4,2,2
508,main_green,62,31.0,10.695598394003229,5,2,2
509,main_green,62,35.0,10.77023030812586,4,2,2
510,main_green,63,39.0,10.450436925430305,5,2,2
511,main_green,63,44.0,10.319924741533457,5,2,2
512,main_green,64,49.0,10.335892338904925,6,2,2
513,main_green,64,57.0,10.368913030210178,8,2,2
514,main_green,64,65.0,10.538691646460146,8,2,2
515,main_green,65,73.0,10.394422790549973,9,2,2
516,main_green,70,81.0,9.795368508873457,13,2,2
517,main_green,70,89.0,10.04486878612131,8,2,2
518,main_green,70,97.0,10.218767967161586,8,2,2
519,main_green,70,105.0,10.43628577369871,8,2,2
520,main_green,72,113.0,10.010128143538042,10,2,2
521,main_green,68,121.0,9.795102535301822,8,2,2
522,main_green,68,129.0,9.803216445219693,8,2,2
523,main_green,66,140.0,9.853636940518657,11,2,2
524,main_green,66,151.0,9.768190356126508,12,2,2
