step,offset_j2,J1_phase_group,J2_phase_group,vehicle_count,total_waiting_time,mean_speed,total_queue,J1_phase,J2_phase
393,20,side_green,side_green,62,530.0,6.104355907380693,29,0,0
394,20,side_green,side_green,61,560.0,5.939736577793283,30,0,0
395,20,side_green,side_green,61,590.0,5.843747724455549,30,0,0
396,20,side_green,side_green,65,620.0,5.186835265626848,35,0,0
397,20,side_green,side_green,66,652.0,5.215085347899127,33,0,0
398,20,side_green,side_green,66,684.0,5.363106045701968,32,0,0
399,20,side_green,side_green,62,717.0,5.0151369931731535,33,0,0
400,20,side_green,side_green,63,750.0,5.024936266410982,34,0,0
401,20,side_green,side_green,60,783.0,4.735043755091202,33,0,0
402,20,side_yellow,side_green,61,817.0,4.65971080054164,35,1,0
403,20,side_yellow,side_green,61,851.0,4.840140387962364,34,1,0
404,20,side_yellow,side_green,61,886.0,4.551627199929402,36,1,0
405,20,main_green,side_green,58,755.0,4.347339038887876,32,2,0
406,20,main_green,side_green,55,637.0,4.216188565586474,29,2,0
407,20,main_green,side_green,56,530.0,4.513505683273933,26,2,0
408,20,main_green,side_green,61,429.0,4.527826519959501,26,2,0
409,20,main_green,side_green,61,337.0,5.283301923433374,18,2,0
410,20,main_green,side_green,61,258.0,6.008871580353544,14,2,0
411,20,main_green,side_green,61,204.0,6.588285892188169,11,2,0
412,20,main_green,side_green,63,153.0,6.997998627686197,11,2,0
413,20,main_green,side_green,63,161.0,7.699404555607964,9,2,0
414,20,main_green,side_green,63,147.0,8.200596326974367,8,2,0
415,20,main_green,side_green,63,155.0,8.560325070541788,8,2,0
416,20,main_green,side_green,64,163.0,8.833104285268224,9,2,0
417,20,main_green,side_green,63,174.0,8.99005083407817,12,2,0
418,20,main_green,side_green,62,185.0,9.192016649308973,11,2,0
419,20,main_green,side_green,61,196.0,9.30839205148765,11,2,0
420,20,main_green,side_green,66,207.0,8.844352702978076,16,2,0
