step,vehicle_count,total_waiting_time,mean_speed,phase,queue_phase_0,queue_phase_3,green_elapsed,state
346,60,405.0,4.501953920155949,2,8,22,0,rrrrrrrrrrrr
347,60,369.0,4.529218697871707,3,7,19,0,rrrGGgrrrGGg
348,61,331.0,4.473056932289376,3,7,18,1,rrrGGgrrrGGg
349,61,293.0,4.556385959433242,3,6,16,2,rrrGGgrrrGGg
350,61,254.0,4.7014475992360705,3,5,15,3,rrrGGgrrrGGg
351,62,251.0,4.731022484676528,3,7,14,4,rrrGGgrrrGGg
352,62,235.0,4.775960040947273,3,6,13,5,rrrGGgrrrGGg
353,63,207.0,4.771715384752487,3,6,12,6,rrrGGgrrrGGg
354,61,181.0,4.561872792110413,3,6,9,7,rrrGGgrrrGGg
355,62,167.0,4.6550154118202896,3,7,8,8,rrrGGgrrrGGg
356,64,156.0,4.690415088513975,3,10,7,9,rrrGGgrrrGGg
357,62,171.0,4.542206855724488,3,9,7,10,rrrGGgrrrGGg
358,62,159.0,4.610830804858829,3,9,5,11,rrrGGgrrrGGg
359,63,150.0,4.606977446429078,3,10,6,12,rrrGGgrrrGGg
360,61,142.0,4.47449096391312,3,11,4,13,rrrGGgrrrGGg
361,62,134.0,4.625951833265209,3,13,3,14,rrrGGgrrrGGg
362,61,126.0,4.747445242935029,3,12,2,15,rrrGGgrrrGGg
363,61,125.0,4.988171566131489,3,12,1,16,rrrGGgrrrGGg
364,63,138.0,5.053647009987398,3,13,2,17,rrrGGgrrrGGg
365,61,145.0,4.941684126156402,3,12,1,18,rrrGGgrrrGGg
366,62,156.0,5.0854269786043815,3,13,0,19,rrrGGgrrrGGg
367,62,170.0,4.988946661392684,4,13,2,0,rrryyyrrryyy
368,62,184.0,5.233487276621824,4,13,1,0,rrryyyrrryyy
369,61,198.0,5.223001510854286,4,13,1,0,rrryyyrrryyy
